component,occurrences,example_source_paths,category,target_mapping,status,risk,batchable,decision_refs,notes
TabItem,2024,docs-api-reference/rtm2/toc-message/publish.restful.mdx|docs-api-reference/rtm2/toc-message/receive.restful.mdx|docs-basics/security/best-practice.mdx|docs-faq/camera-exposure-focus.mdx|docs-faq/electron-faq.mdx|docs-faq/generate-token.mdx|docs-faq/rtm2-rtc-integration-issue.mdx|docs-faq/sei.mdx,tabs,code fence tabs or repo-approved Tabs/TabsList/TabsTrigger/TabsContent,classified,medium,yes,markdown-authoring-standard:tabs,Generated 2026-07-02T10:27:25.467Z; 184 source files include this legacy JSX tag after code fences were excluded.
VersionSection,1526,docs/agora-product/overview/release-notes.mdx|docs/analytics/overview/release-notes.mdx|docs/cloud-recording/overview/release-notes.mdx|docs/convoai/overview/release-notes.mdx|docs/dummy-product/test/release-note.unity.mdx|docs/flexible-classroom/overview/release-notes.android.mdx|docs/flexible-classroom/overview/release-notes.ios.mdx|docs/flexible-classroom/overview/release-notes.javascript.electron.mdx,api-reference,prefer structured API/OpenAPI source; otherwise conservative Markdown reference rewrite,needs_review,high,no,legacy-casebook:api-reference-mdx,Generated 2026-07-02T10:27:25.467Z; 62 source files include this legacy JSX tag after code fences were excluded.
Image,1277,docs-basics/security/best-practice.mdx|docs-basics/security/fastboard-sdk.mdx|docs-basics/security/flexible-classroom-sdk.mdx|docs-basics/security/information.mdx|docs-basics/security/privacy.mdx|docs-basics/security/video-sdk.mdx|docs-basics/security/voice-sdk.mdx|docs-basics/security/whiteboard-sdk.mdx,media,Markdown image syntax; mark needs-image-standard when width/caption matters,classified,medium,yes,legacy-casebook:images,Generated 2026-07-02T10:27:25.467Z; 532 source files include this legacy JSX tag after code fences were excluded.
Row,1214,docs-basics/security/best-practice.mdx|docs/agora-product/basic-features/precall-test.mdx|docs/agora-product/get-started/quick-start-framework.mdx|docs/agora-product/get-started/quick-start-native.mdx|docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/agora-product/resources.mdx|docs/aigc/landing-page.mdx,layout,remove Ant Design layout; rewrite as Markdown sections or approved cards directive,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 338 source files include this legacy JSX tag after code fences were excluded.
Tabs,786,docs-api-reference/rtm2/toc-message/publish.restful.mdx|docs-api-reference/rtm2/toc-message/receive.restful.mdx|docs-basics/security/best-practice.mdx|docs-faq/camera-exposure-focus.mdx|docs-faq/electron-faq.mdx|docs-faq/generate-token.mdx|docs-faq/rtm2-rtc-integration-issue.mdx|docs-faq/sei.mdx,tabs,code fence tabs or repo-approved Tabs/TabsList/TabsTrigger/TabsContent,classified,medium,yes,markdown-authoring-standard:tabs,Generated 2026-07-02T10:27:25.467Z; 184 source files include this legacy JSX tag after code fences were excluded.
Detail,562,docs-faq/billing-free.mdx|docs-faq/privacyinfo.mdx|docs-faq/restful-api-call-frequency.mdx|docs-faq/rtm2-rtc-integration-issue.mdx|docs/agora-product/basic-features/precall-test.mdx|docs/agora-product/best-practices/reduce-app-size.android.mdx|docs/agora-product/get-started/call-api.restful.mdx|docs/agora-product/get-started/integrate-showroom.android.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 92 source files include this legacy JSX tag after code fences were excluded.
LinkCardV2,540,docs-faq/electron-faq.mdx|docs/agora-product/basic-features/precall-test.mdx|docs/agora-product/get-started/quick-start-framework.mdx|docs/agora-product/get-started/quick-start-native.mdx|docs/agora-product/resources.mdx|docs/chatroom/uikit/get-started/run-github-project-backend.mdx|docs/cloud-recording/get-started/quick-start-go.mdx|docs/cloud-recording/get-started/quick-start-java.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 248 source files include this legacy JSX tag after code fences were excluded.
Glossary,486,docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx|docs-api-reference/cloud-recording/go-api/struct.go.mdx|docs-api-reference/cloud-recording/java-api/struct.java.mdx|docs-api-reference/convoai/go-api/basicauthcredential.go.mdx|docs-api-reference/convoai/go-api/struct.go.mdx|docs-api-reference/convoai/java-api/basicauthcredential.java.mdx|docs-api-reference/convoai/java-api/overview.java.mdx|docs-api-reference/convoai/java-api/struct.java.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 56 source files include this legacy JSX tag after code fences were excluded.
Status,259,docs-api-reference/dummy-product/toc-configuration/configuration.unity.mdx|docs-api-reference/rtm2/_en/_flutter/_channel-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_lock-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_message-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_presence-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_storage-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_topic-en.flutter.mdx|docs-api-reference/rtm2/_en/_ios/_configuration-en.ios.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 54 source files include this legacy JSX tag after code fences were excluded.
ListItem,174,docs/art-class/landing-page.mdx|docs/breakout-classroom/landing-page.mdx|docs/dummy-product/landing-page.mdx|docs/dummy-product/landing-page.unity.mdx|docs/dummy-product/test/components.mdx|docs/dummy-product/test/landing-page.mdx|docs/one-to-one-classroom/landing-page.mdx|docs/online-music-class/landing-page.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 10 source files include this legacy JSX tag after code fences were excluded.
SDKDownloadCard,166,docs/agora-product/resources.mdx|docs/dummy-product/test/components.mdx|docs/flexible-classroom/resources.android.mdx|docs/flexible-classroom/resources.ios.mdx|docs/multi-usecase/_homepage_.mdx|docs/online-ktv/online-ktv-sdk/resources.android.mdx|docs/online-ktv/online-ktv-sdk/resources.ios.mdx|docs/recording/resources.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 28 source files include this legacy JSX tag after code fences were excluded.
HotArticleCard,135,docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/analytics/landing-page.mdx|docs/cloud-recording/landing-page.mdx|docs/cloud-transcoder/landing-page.mdx|docs/conversion-ppt/landing-page.mdx|docs/danmaku/landing-page.mdx|docs/dummy-product/test/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 36 source files include this legacy JSX tag after code fences were excluded.
PlatformGuideCard,122,docs-basics/security/best-practice.mdx|docs/dummy-product/_homepage_.mdx|docs/dummy-product/test/components.mdx|docs/iot-apaas/_homepage_.mdx|docs/iot-apaas/_resources.mdx|docs/marketplace/integrate-extensions/kivisense-beautify.javascript.mdx|docs/multi-usecase/non-scenario-based/resources.mdx|docs/multi-usecase/scenario-based/resources.mdx,platform-variant,static platform folders or PlatformInline/PlatformStructured,needs_review,high,partial,legacy-casebook:platform-filters,Generated 2026-07-02T10:27:25.467Z; 10 source files include this legacy JSX tag after code fences were excluded.
DocLinkCard,118,docs-api-reference/rtm2/_en/_android/_token-en.android.mdx|docs-api-reference/rtm2/_en/_cpp/_token-en.cpp.mdx|docs-api-reference/rtm2/_en/_flutter/_channel-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_configuration-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_message-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_token-en.flutter.mdx|docs-api-reference/rtm2/_en/_harmonyos/_token-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_ios/_token-en.ios.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 59 source files include this legacy JSX tag after code fences were excluded.
ProductOverview,110,docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/aigc/landing-page.mdx|docs/analytics/landing-page.mdx|docs/chatroom/sdk/landing-page.mdx|docs/chatroom/uikit/landing-page.mdx|docs/cloud-recording/landing-page.mdx|docs/cloud-transcoder/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 53 source files include this legacy JSX tag after code fences were excluded.
RecommendCard,100,docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/analytics/landing-page.mdx|docs/chatroom/sdk/landing-page.mdx|docs/cloud-recording/landing-page.mdx|docs/console/landing-page.mdx|docs/dummy-product/test/landing-page.mdx|docs/flexible-classroom/landing-page.android.ios.javascript.electron.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 28 source files include this legacy JSX tag after code fences were excluded.
Text,94,docs/cloud-recording/overview/billing-strategy/billing.mdx|docs/dummy-product/test/components.mdx|docs/dummy-product/test/table.mdx|docs/game-voice/best-practices/audio-experience-optimization.mdx|docs/rtm2/overview/billing/billing-strategy.mdx|docs/teleoperation/overview/product-overview.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Tech,74,docs/agora-product/get-started/quick-start-framework.mdx|docs/agora-product/get-started/quick-start-native.mdx|docs/flexible-classroom/get-started/quick-start.android.mdx|docs/flexible-classroom/get-started/quick-start.electron.mdx|docs/flexible-classroom/get-started/quick-start.ios.mdx|docs/flexible-classroom/get-started/quick-start.javascript.mdx|docs/marketplace/integrate-extensions/faceunity-ar.android.ios.flutter.mdx|docs/marketplace/integrate-extensions/legacy/.livedata-asr.android.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 74 source files include this legacy JSX tag after code fences were excluded.
InstantExperienceCard,73,docs/agora-product/landing-page.android.mdx|docs/agora-product/resources.mdx|docs/aigc/landing-page.mdx|docs/chatroom/sdk/landing-page.mdx|docs/chatroom/sdk/resources.mdx|docs/chatroom/uikit/landing-page.mdx|docs/chatroom/uikit/resources.mdx|docs/conversion-ppt/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 47 source files include this legacy JSX tag after code fences were excluded.
QuickStartCard,63,docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/aigc/landing-page.mdx|docs/chatroom/sdk/landing-page.mdx|docs/chatroom/uikit/landing-page.mdx|docs/cloud-recording/landing-page.mdx|docs/cloud-transcoder/landing-page.mdx|docs/console/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 49 source files include this legacy JSX tag after code fences were excluded.
MCPIntegrate,54,docs/agora-product/mcp-integrate.mdx|docs/aigc/mcp-integrate.mdx|docs/analytics/mcp-integrate.mdx|docs/art-class/mcp-integrate.mdx|docs/breakout-classroom/mcp-integrate.mdx|docs/chatroom/sdk/mcp-integrate.mdx|docs/chatroom/uikit/mcp-integrate.mdx|docs/cloud-recording/mcp-integrate.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 54 source files include this legacy JSX tag after code fences were excluded.
SkillsIntegrate,54,docs/agora-product/skills-integrate.mdx|docs/aigc/skills-integrate.mdx|docs/analytics/skills-integrate.mdx|docs/art-class/skills-integrate.mdx|docs/breakout-classroom/skills-integrate.mdx|docs/chatroom/sdk/skills-integrate.mdx|docs/chatroom/uikit/skills-integrate.mdx|docs/cloud-recording/skills-integrate.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 54 source files include this legacy JSX tag after code fences were excluded.
LinkCardA,48,docs/art-class/landing-page.mdx|docs/breakout-classroom/landing-page.mdx|docs/dummy-product/landing-page.mdx|docs/one-to-one-classroom/landing-page.mdx|docs/online-music-class/landing-page.mdx|docs/small-classroom/landing-page.mdx|docs/smart-camera/landing-page.mdx|docs/smart-doorbell/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 10 source files include this legacy JSX tag after code fences were excluded.
AppId,43,docs/agora-product/get-started/enable-service.mdx|docs/aigc/get-started/enable-service.mdx|docs/art-class/get-started/enable-service.mdx|docs/chatroom/sdk/get-started/enable-service.mdx|docs/chatroom/uikit/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/convoai/get-started/enable-service.mdx|docs/dummy-product/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 43 source files include this legacy JSX tag after code fences were excluded.
Login,43,docs/agora-product/get-started/enable-service.mdx|docs/aigc/get-started/enable-service.mdx|docs/art-class/get-started/enable-service.mdx|docs/chatroom/sdk/get-started/enable-service.mdx|docs/chatroom/uikit/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/conversion-ppt/get-started/enable-service.mdx|docs/convoai/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 43 source files include this legacy JSX tag after code fences were excluded.
LinkCardC,42,docs/dummy-product/landing-page.mdx|docs/multi-usecase/non-scenario-based/landing-page.mdx|docs/multi-usecase/scenario-based/landing-page.mdx|docs/multi-usecase/ui-solution/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
PlatformLinkCardV2,42,docs/dummy-product/_homepage_.mdx|docs/flexible-classroom/_resources.mdx|docs/multi-usecase/_homepage_.mdx|docs/rtm2/_homepage_.mdx,platform-variant,static platform folders or PlatformInline/PlatformStructured,needs_review,high,partial,legacy-casebook:platform-filters,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
Project,42,docs/agora-product/get-started/enable-service.mdx|docs/aigc/get-started/enable-service.mdx|docs/art-class/get-started/enable-service.mdx|docs/chatroom/sdk/get-started/enable-service.mdx|docs/chatroom/uikit/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/console/quickstart.mdx|docs/conversion-ppt/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 42 source files include this legacy JSX tag after code fences were excluded.
Intro,40,docs/cloud-recording/overview/billing-strategy/billing.mdx|docs/cloud-recording/overview/billing-strategy/snapshot-billing.mdx|docs/cloud-recording/overview/billing-strategy/webpage-billing.mdx|docs/convoai/best-practice/audio-settings.mdx|docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/realtime-sub.mdx|docs/convoai/user-guides/send-multimodal-message.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 40 source files include this legacy JSX tag after code fences were excluded.
LinkBlock,39,docs/aigc/get-started/quick-start.android.mdx|docs/aigc/get-started/quick-start.ios.mdx|docs/conversion-ppt/get-started/quick-start.mdx|docs/dummy-product/landing-page.unity.mdx|docs/dummy-product/test/components.mdx|docs/game-voice/get-started/audio-quick-start.mdx|docs/iot-apaas/landing-page.mdx|docs/meta-world/get-started/integrate-sdk.android.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 14 source files include this legacy JSX tag after code fences were excluded.
Set,34,docs-api-reference/flexible-classroom/classroom-sdk.android.mdx|docs-api-reference/flexible-classroom/classroom-sdk.ios.mdx|docs-api-reference/flexible-classroom/classroom-sdk.javascript.electron.mdx|docs-api-reference/flexible-classroom/fcr-ui-scene.javascript.electron.mdx|docs-api-reference/flexible-classroom/proctor-sdk.ios.mdx|docs-api-reference/flexible-classroom/proctor-sdk.javascript.electron.mdx|docs/flexible-classroom/_restapi.mdx|docs/flexible-classroom/api/api-sync.restful.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 11 source files include this legacy JSX tag after code fences were excluded.
Pre,33,docs/agora-product/get-started/quick-start-native.mdx|docs/convoai/best-practice/audio-settings.mdx|docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/manual-turn-control.mdx|docs/convoai/user-guides/send-multimodal-message.mdx|docs/game-voice/get-started/run-example.unreal-cpp.mdx|docs/meta-world/get-started/integrate-sdk.android.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 33 source files include this legacy JSX tag after code fences were excluded.
Token,32,docs/agora-product/get-started/enable-service.mdx|docs/aigc/get-started/enable-service.mdx|docs/art-class/get-started/enable-service.mdx|docs/chatroom/sdk/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/convoai/get-started/enable-service.mdx|docs/dummy-product/get-started/enable-service.mdx|docs/dummy-product/test/toc.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 30 source files include this legacy JSX tag after code fences were excluded.
Github,31,docs/agora-product/get-started/integrate-showroom.android.mdx|docs/chatroom/sdk/get-started/quick-integration.android.mdx|docs/chatroom/sdk/get-started/quick-integration.ios.mdx|docs/chatroom/sdk/resources.mdx|docs/chatroom/sdk/user-guides/mic-seat-management.android.mdx|docs/chatroom/sdk/user-guides/mic-seat-management.ios.mdx|docs/chatroom/uikit/get-started/quick-integration.android.mdx|docs/chatroom/uikit/get-started/quick-integration.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 31 source files include this legacy JSX tag after code fences were excluded.
HomepageBasicCard,28,docs/dummy-product/test/rtc-homepage.mdx|docs/marketplace/_homepage_.mdx|docs/rtc/_homepage_.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
ListPanelAV2,28,docs/art-class/landing-page.mdx|docs/breakout-classroom/landing-page.mdx|docs/dummy-product/landing-page.mdx|docs/dummy-product/test/components.mdx|docs/one-to-one-classroom/landing-page.mdx|docs/online-music-class/landing-page.mdx|docs/small-classroom/landing-page.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Card,26,docs/dummy-product/landing-page.unity.mdx|docs/dummy-product/test/components.mdx|docs/rtm2/landing-page.mdx|docs/rtm2/overview/billing/billing-strategy.mdx|docs/teleoperation/overview/product-overview.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Appid,23,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx|docs/flexible-classroom/basic-features/generate-token.android.ios.javascript.electron.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
